Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
-0.75	7.26518823577488E-005	0.0143690425	0.0550723783	12.7217193775	0.0728178084
-0.5	7.31248349045396E-005	0.016154396	0.054963854	12.6966502845	0.0724786263
-0.25	7.34876565878531E-005	0.0165087568	0.0550827064	12.7241051689	0.0721661903
0	7.32878560141827E-005	0.0151971326	0.0540220967	12.4791043405	0.0722542686
0.25	7.32901201912685E-005	0.0144906743	0.0553909534	12.795310232	0.0722571341
0.5	7.34768631524996E-005	0.0167934549	0.0545062049	12.590933342	0.0721880844
0.75	7.3194379902194E-005	0.016026329	0.0547143416	12.639012913	0.072386165
1	0.00007308	0.015159099	0.0546613	12.6267603105	0.072461372
1.25	7.28652711183997E-005	0.0155348108	0.0547772098	12.6535354535	0.0726913577
1.5	7.28542834786785E-005	0.0173566652	0.0549008432	12.6820947764	0.0727758879
1.75	7.2817656331395E-005	0.0169238427	0.0552202132	12.7558692422	0.0728287025
2	7.27011315733956E-005	0.0153583618	0.0552833254	12.7704481617	0.0728377588
2.25	0.000072534	0.0167245411	0.0552724981	12.7679470719	0.0730910885
2.5	7.24558959372198E-005	0.0148925608	0.0550620528	12.7193342041	0.0730499765
2.75	7.22613859733829E-005	0.0149908075	0.0542600118	12.5340627344	0.0732837473
3	7.21801251425917E-005	0.0142776364	0.0543558075	12.5561915269	0.07329504
3.25	7.22354573317799E-005	0.0180421453	0.0545227323	12.5947511595	0.0734763116
3.5	7.21838869242645E-005	0.016224605	0.0536228664	12.3868821389	0.0734039056
3.75	7.20812530636022E-005	0.0160676533	0.0549233968	12.6873046535	0.0734566279
4	7.23029292256208E-005	0.0165289256	0.0550240746	12.7105612247	0.0733156881
4.25	7.20241739805335E-005	0.0156327019	0.0550691717	12.720978655	0.073567873
4.5	7.20133735564639E-005	0.0174328694	0.0558510099	12.9015832754	0.0736584132
4.75	7.16244189024608E-005	0.0166550035	0.0546598809	12.626432498	0.0739652616
5	7.09964316894602E-005	0.0156900861	0.0555593536	12.834210683	0.0745720966
5.25	7.06528648854861E-005	0.0162938415	0.0550108412	12.7075043278	0.0749778455
5.5	7.06503382953756E-005	0.0216884008	0.0551267388	12.7342766538	0.0752479768
5.75	7.37720716199332E-005	0.0600893778	0.0546238275	12.6181041532	0.0742248926
6	8.08992499454594E-005	0.1486633933	0.0546956559	12.6346965028	0.0732285775
6.25	9.2885425827242E-005	0.2792057664	0.0643202444	14.8579764602	0.0717722075
6.5	0.0001092672	0.4340344168	0.0684656407	15.8155630069	0.070621926
6.75	0.0001273358	0.5874735909	0.0764706275	17.6647149441	0.0712996854
7	0.0001452649	0.7157176952	0.0796563705	18.4006215761	0.0739702924
7.25	0.0001605761	0.8121937942	0.0990074044	22.8707104154	0.0773243177
7.5	0.0001738707	0.886659436	0.0975852886	22.5422016551	0.0815575299
7.75	0.0001899593	0.955495251	0.0987403139	22.8090125205	0.0855794268
8	0.0002085748	1.0265161817	0.1138603527	26.3017414712	0.0886642238
8.25	0.0002318318	1.1026233519	0.1385280514	31.9999798638	0.0950210621
8.5	0.0002554472	1.1769833163	0.1375684643	31.7783152477	0.100126425
8.75	0.0002841432	1.2626640375	0.1575391974	36.3915545968	0.1078735115
9	0.0003190283	1.353112511	0.156725259	36.2035348323	0.1168302032
9.25	0.0003489242	1.4380456114	0.1594067832	36.8229669183	0.1241989761
9.5	0.0003961292	1.534097849	0.1673485906	38.6575244253	0.1352549409
9.75	0.0004518192	1.6389661488	0.1589537558	36.7183175798	0.1442035341
10	0.0005186762	1.7447644866	0.1634825152	37.7644610202	0.1576818243
10.25	0.0006044067	1.8609226594	0.1617887927	37.3732111176	0.1705234741
10.5	0.0006824025	1.9680130117	0.2260969945	52.2284057204	0.1846273005
10.75	0.0008156179	2.0874457701	0.2266557143	52.3574700011	0.1993126912
11	0.0008722964	2.1951252539	0.226533476	52.3292329662	0.208350469
11.25	0.0010027058	2.3123013458	0.2437133691	56.2977882597	0.2302063812
11.5	0.0011167268	2.4066992135	0.2420774286	55.9198859966	0.2421071184
11.75	0.0012587393	2.5187390069	0.2277813903	52.6175011596	0.2572528662
12	0.0013824906	2.6209508352	0.2365850019	54.6511354294	0.2643889947
12.25	0.0016426164	2.7175841289	0.2843689	65.6892158938	0.2861835539
12.5	0.0018253767	2.8139172815	0.2855672086	65.966025185	0.3025772444
12.75	0.0021633289	2.904109589	0.308956422	71.3689334778	0.3292903735
13	0.0024014073	2.9932550924	0.3232359483	74.6675040503	0.3503800434
13.25	0.0024810398	3.0709119178	0.315469494	72.8734531215	0.3496810169
13.5	0.0028083181	3.1558108108	0.317212325	73.2760470734	0.3656673658
13.75	0.0031013091	3.2399351527	0.332500992	76.8077291561	0.376752433
14	0.0034513445	3.3157503212	0.3554170154	82.1013305494	0.4069019224
14.25	0.0037299043	3.3964152858	0.3567874923	82.4179107202	0.4059340387
14.5	0.0040104074	3.4665042631	0.3519409321	81.2983553062	0.4103658931
14.75	0.0043592592	3.5365143824	0.35440333	81.8671692312	0.417701619
15	0.0052445401	3.621395286	0.3521187751	81.3394370496	0.4303617133
15.25	0.0055653724	3.6851098454	0.3536844315	81.7011036834	0.439236773
15.5	0.0070589028	3.7538378305	0.3985055952	92.0547924895	0.4505709343
15.75	0.0077298399	3.810644485	0.3980143545	91.9413158975	0.4480225134
16	0.0088964992	3.8684798052	0.3989248749	92.1516460914	0.4550650884
16.25	0.0092372701	3.9251604188	0.3963053022	91.5465248033	0.4431394874
16.5	0.0090788708	3.9911135048	0.3910997175	90.3440347448	0.4543824532
16.75	0.0084783591	4.0351684025	0.4299494014	99.3183117228	0.4767010723
17	0.0105437032	4.0991277301	0.4088003625	94.4328837423	0.4684738305
17.25	0.0102051087	4.144524661	0.3963188405	91.5496521649	0.4734349624
17.5	0.0118434375	4.1955050095	0.4070005385	94.0171244044	0.4726685729
17.75	0.0122495988	4.2420486277	0.4114791445	95.0516823785	0.4840158075
18	0.0132247271	4.2893986697	0.4680647855	108.1229654615	0.4920787774
18.25	0.0142177419	4.3346961025	0.4692081947	108.3870929716	0.5040246438
18.5	0.0140811226	4.3852124183	0.4656511692	107.5654200819	0.5091194393
18.75	0.0165284984	4.4263322884	0.5146058353	118.8739479649	0.528215673
19	0.0173574465	4.463033433	0.5110494749	118.0524287007	0.5492063076
19.25	0.0207195192	4.5128449744	0.5179477213	119.6459236295	0.528527418
19.5	0.0186280776	4.5458023089	0.5182929707	119.7256762403	0.5409132628
19.75	0.0243204077	4.5734007654	0.5497321238	126.9881206059	0.5603201331
20	0.0219990279	4.6097944129	0.5322540722	122.9506906861	0.5794374262
20.25	0.0243131967	4.6388983571	0.5484449367	126.690780372	0.5624118566
20.5	0.0246115807	4.6741588339	0.5472407188	126.4126060335	0.5632608188
20.75	0.0234764144	4.7121273989	0.5282447876	122.024545931	0.579009977
21	0.0266553485	4.7350636964	0.5488698555	126.7889366193	0.5748612752
21.25	0.0246053303	4.7587336245	0.5281675571	122.006705679	0.6165050569
21.5	0.0250188629	4.7890720807	0.5299112901	122.4095080186	0.5994001611
21.75	0.0276288297	4.7993719708	0.5477053998	126.519947357	0.5824138696
22	0.0297780267	4.829663168	0.5491824557	126.8611472554	0.5938539466
22.25	0.0301002189	4.8506332599	0.5488499862	126.7843468113	0.5873371177
22.5	0.0272112166	4.8610939112	0.5275788707	121.8707191275	0.5999606808
22.75	0.0306348753	4.8872077029	0.5490872123	126.8391460461	0.5811606991
23	0.0312714881	4.9150416868	0.5489100435	126.7982200529	0.5969603577
23.25	0.0315814132	4.9321963966	0.5507158822	127.2153687937	0.5950959992
23.5	0.0316080028	4.9626978665	0.5519684332	127.5047080703	0.6104019402
23.75	0.0292607065	4.9890155156	0.5319419688	122.8785948007	0.5960056552
24	0.038787482	5.0093509351	0.6511019283	150.4045454474	0.6445323414
24.25	0.0391475837	5.0382709251	0.648884316	149.8922770061	0.6140492189
24.5	0.0390776626	5.045971466	0.6495642153	150.0493337322	0.642585173
24.75	0.044034313	5.0755726238	0.6493093978	149.990470895	0.6542599575
25	0.0400449969	5.0895583987	0.6493230422	149.9936227436	0.6447361264
25.25	0.0400607836	5.11710472	0.6478530162	149.6540467514	0.6340444872
25.5	0.0419124761	5.1344537815	0.6477045002	149.6197395506	0.637602181
25.75	0.0375654002	5.1540423186	0.6453643901	149.0791741144	0.6609221438
26	0.043083932	5.1720237274	0.6492922292	149.9865049395	0.6406926477
26.25	0.0476326932	5.188835286	0.6508830123	150.3539758482	0.6503930099
26.5	0.0482902152	5.204223894	0.6490051941	149.9201998475	0.6385137439
26.75	0.0498449239	5.2157078884	0.6553892942	151.3949269703	0.6602556588
27	0.0515257097	5.2268154885	0.6527499457	150.7852374652	0.6519318818
27.25	0.0695697136	5.2329580772	0.7050447071	162.8653273303	0.6248935723
27.5	0.0671462746	5.2510373444	0.7045732552	162.7564219551	0.6308165234
27.75	0.0713997786	5.2710551791	0.7070226137	163.3222237554	0.6249210979
28	0.0564084183	5.2860699959	0.6533440416	150.9224736076	0.6841796734
28.25	0.0766335842	5.2939301552	0.7046060155	162.7639895765	0.6560109828
28.5	0.0783672213	5.3069664169	0.7056088143	162.995636108	0.6474188566
28.75	0.0783343129	5.3247114449	0.7032664797	162.4545568145	0.6436560756
29	0.0600546504	5.3284691821	0.6483405938	149.7666771779	0.679765711
29.25	0.0792955674	5.3328215507	0.7068664057	163.2861397111	0.643299772
30.55	0.0947421246	5.3885849933	0.782576938	200.3396961338	0.7349754143
31.043	0.0950316703	5.4266877907	0.7829013424	200.4227436561	0.7394367769
31.536	0.1087628632	5.4397460838	0.7842921608	200.7787931562	0.6953632317
32.029	0.1103077978	5.4545547647	0.7876679948	201.6430066797	0.7108115776
32.522	0.1106120408	5.4711548314	0.7886470881	201.8936545452	0.7110978912
33.015	0.1135368305	5.4907934554	0.7950866838	203.5421910628	0.7192478086
33.508	0.1135988311	5.5064734895	0.7897580518	202.1780612653	0.7016087881
34.001	0.2110688896	5.51236059	0.8805140124	225.4115871759	0.6540133985
34.494	0.2143909568	5.5333093266	0.8862031967	226.8680183664	0.6598248987
34.987	0.2445438914	5.5441252188	0.8707189904	222.9040615458	0.6155998051
35.48	0.2482029203	5.553648956	0.8711012968	223.0019319861	0.6313618058
35.973	0.3349156362	5.5660015548	0.9200371763	235.5295171309	0.5746954919
36.466	0.3455941663	5.575602896	0.9179775787	235.0022601441	0.5694150823
36.959	0.3489143502	5.5892049295	0.9204369904	235.6318695531	0.5732407631
37.452	0.3991849853	5.6057702323	0.9410283832	240.9032660883	0.5711682468
37.945	0.453329072	5.6253521127	0.9564937887	244.8624099102	0.5688836799
38.438	0.4483791012	5.6330485518	0.956043751	244.7472002564	0.5675738781
38.931	0.4537596002	5.642510565	0.9552638723	244.547551301	0.5850971463
39.424	0.4510769563	5.6509246683	0.955877616	244.7046697024	0.5612191697
39.917	0.4657883858	5.6602945785	0.9578935718	245.220754372	0.5854365882
40.41	0.4615492012	5.6589972348	0.9562555835	244.8014293861	0.5588545517
40.903	0.3487761967	5.6696433234	0.8997845358	230.344841176	0.6289306756
41.396	0.3569048799	5.6819110482	0.9013360216	230.7420215248	0.6141430878
41.889	0.3607725478	5.6856678379	0.9022901291	230.9862730462	0.6040568161
42.382	0.3575606933	5.7007981516	0.9027919916	231.11474984	0.6037290961
42.875	0.3669822206	5.7072453108	0.9045321076	231.5602195343	0.6050381296
43.368	0.3714825657	5.7189542484	0.906209774	231.9897021337	0.6113778399
43.861	0.3293570077	5.7214841476	0.8902493561	227.9038351493	0.6028113346
44.354	0.3355687257	5.7328098472	0.8930879254	228.6305089091	0.6032849256
44.847	0.4630297434	5.7388024016	0.9442804333	241.7357909199	0.5402937474
45.34	0.4650072867	5.7423959942	0.9455229526	242.0538758702	0.5435442897
45.833	0.4890460803	5.7429581236	0.9520031562	243.7128079996	0.5429404871
46.326	0.3550982421	5.738649186	0.9000353884	230.4090594333	0.6154201163
46.819	0.3519456281	5.7502287775	0.8988405312	230.1031759856	0.6137579618
47.312	0.3299835188	5.7484718992	0.8944523212	228.9797942197	0.6208954811
47.805	0.3592611412	5.7546318935	0.8964634078	229.4946323872	0.6228705837
48.298	0.3642082669	5.7523487	0.8930797328	228.628411596	0.6181488794
48.791	0.3632367674	5.7591480066	0.8921635713	228.393874265	0.6116895954
49.284	0.3409348124	5.7573065745	0.8830325468	226.0563319838	0.6103184533
49.777	0.3422348671	5.773388203	0.8843558153	226.3950887111	0.6153651857
50.27	0.3476817976	5.7745346404	0.8866992227	226.9950010072	0.6180672964
50.763	0.3652771731	5.7796125055	0.8984291107	229.9978523446	0.6262101954
51.256	0.3869001847	5.7906145128	0.9050857514	231.7019523556	0.6248204818
51.749	0.4150134778	5.7841797951	0.9162922067	234.5708049169	0.6292449772
52.242	0.4185289035	5.7984128734	0.9051395921	231.7157355831	0.602587338
52.735	0.4209784806	5.8008476909	0.9068500632	232.1536161689	0.606792228
53.228	0.4230387505	5.7966530882	0.9088863899	232.6749158155	0.6093056989
53.721	0.4654450656	5.7951246537	0.9073056111	232.2702364439	0.5916858106
54.214	0.4666033813	5.8060807076	0.906303967	232.0138155498	0.5912927311
54.707	0.4626289912	5.8125313283	0.9032200523	231.2243333818	0.5850068889
55.2	0.4677055292	5.8195195363	0.9038887882	231.3955297773	0.5862817191
55.693	0.4576051263	5.813069484	0.8989879399	230.1409126256	0.581421078
56.186	0.4322949264	5.8200067287	0.885974771	226.8095413724	0.5747465779
56.679	0.4361854048	5.826806212	0.8873687347	227.1663960913	0.479655453
57.172	0.4438793959	5.8330603716	0.8852326102	226.6195482104	0.4825733413
57.665	0.4459694542	5.83216069	0.8838106426	226.2555244962	0.4703076854
58.158	0.4495023147	5.840603551	0.882087631	225.8144335295	0.468417643
58.651	0.4660838317	5.8522694914	0.8787488553	224.9597069634	0.461050332
59.144	0.4625862542	5.8637219654	0.8746941728	223.9217082373	0.4542010464
59.637	0.468013337	5.8744554001	0.8738314655	223.70085517	0.4520612459
60.13	0.4664707363	5.871423647	0.8715638318	223.1203409524	0.4509291364
60.623	0.4684856782	5.8758572993	0.8685505598	222.3489433199	0.4486639737
61.116	0.4793453038	5.8753243758	0.8690535974	222.4777209325	0.4453901963
61.609	0.4869838737	5.8815987062	0.8703770189	222.8165168337	0.4433687998
62.102	0.48847569	5.8909596018	0.867388383	222.051426043	0.4464169913
62.595	0.4913631084	5.8909554435	0.8675734067	222.0987921228	0.4468076597
63.088	0.4925246557	5.8929440389	0.866865956	221.9176847377	0.4460510628
63.581	0.4952845318	5.9067525983	0.8653542718	221.5306935721	0.4416352671
64.074	0.4921442956	5.8960419092	0.8617486271	220.6076485501	0.4383927685
64.567	0.5709439099	5.9010352693	0.8815348706	225.6729268791	0.4497589061
65.06	0.571507998	5.9028373377	0.8769818315	224.5073488719	0.4410145146
